Date,Price,Open,High,Low
26-Jan-24,41.8113,39.942,42.2148,39.8312
25-Jan-24,39.9357,40.0851,40.2858,39.5463
24-Jan-24,40.086,39.8913,40.5352,39.51
23-Jan-24,39.8888,39.555,40.1594,38.5469
22-Jan-24,39.5564,41.5817,41.6849,39.4684
21-Jan-24,41.5832,41.6954,41.878,41.5045
20-Jan-24,41.6954,41.6476,41.858,41.4495
19-Jan-24,41.648,41.2938,42.1646,40.3054
18-Jan-24,41.2927,42.7635,42.908,40.6826
17-Jan-24,42.7687,43.1391,43.1923,42.2118
16-Jan-24,43.1455,42.5152,43.5637,42.0931
15-Jan-24,42.5107,41.7476,43.3489,41.7192
14-Jan-24,41.7461,42.8513,43.0694,41.7396
13-Jan-24,42.8513,42.8367,43.2486,42.4433
12-Jan-24,42.8359,46.3481,46.5032,41.8579
11-Jan-24,46.3482,46.6293,48.9237,45.6518
10-Jan-24,46.6293,46.112,47.6543,44.4036
09-Jan-24,46.129,46.9592,47.8801,45.3339
08-Jan-24,46.9622,43.9342,47.1967,43.251
07-Jan-24,43.9273,43.9735,44.4812,43.6279
06-Jan-24,43.9679,44.1566,44.2032,43.424
05-Jan-24,44.1569,44.163,44.3121,42.629
04-Jan-24,44.157,42.8361,44.7445,42.6328
03-Jan-24,42.8361,44.9437,45.4927,40.8883
02-Jan-24,44.9437,44.1829,45.8854,44.166
01-Jan-24,44.1834,42.2725,44.187,42.1967
31-Dec-23,42.2725,42.1416,42.8788,41.9714
30-Dec-23,42.1367,42.0747,42.5922,41.5273
29-Dec-23,42.0724,42.5811,43.108,41.459
28-Dec-23,42.5811,43.4465,43.7826,42.3093
27-Dec-23,43.4465,42.5143,43.6767,42.1153
26-Dec-23,42.5133,43.5799,43.5949,41.7966
25-Dec-23,43.5785,42.982,43.7927,42.7453
24-Dec-23,42.9815,43.7104,43.9357,42.7485
23-Dec-23,43.7104,43.9689,43.9946,43.3257
22-Dec-23,43.9689,43.8659,44.3946,43.4193
21-Dec-23,43.8659,43.6603,44.2418,43.3102
20-Dec-23,43.6628,42.2595,44.2787,42.2172
19-Dec-23,42.2593,42.6597,43.4733,41.8427
18-Dec-23,42.6597,41.3691,42.728,40.554
17-Dec-23,41.3687,42.2717,42.4132,41.2769
16-Dec-23,42.2717,41.929,42.6903,41.6982
